"External ID","ID","Name","State/External ID","State/ID","Country/External ID","Country/ID"
"rv_location_custom.city_id_332","846","Kabupaten Aceh Barat","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_333","847","Kabupaten Aceh Barat Daya","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_334","848","Kabupaten Aceh Besar","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_335","849","Kabupaten Aceh Jaya","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_336","850","Kabupaten Aceh Selatan","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_337","851","Kabupaten Aceh Singkil","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_338","852","Kabupaten Aceh Tamiang","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_339","853","Kabupaten Aceh Tengah","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_340","854","Kabupaten Aceh Tenggara","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_341","855","Kabupaten Aceh Timur","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_342","856","Kabupaten Aceh Utara","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_446","960","Kabupaten Agam","base.state_id_sb","646","base.id","100"
"rv_location_custom.city_id_256","770","Kabupaten Alor","base.state_id_nt","634","base.id","100"
"rv_location_custom.city_id_482","996","Kabupaten Asahan","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_278","792","Kabupaten Asmat","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_355","869","Kabupaten Badung","base.state_id_ba","614","base.id","100"
"rv_location_custom.city_id_161","675","Kabupaten Balangan","base.state_id_ks","625","base.id","100"
"rv_location_custom.city_id_48","562","Kabupaten Bandung","base.state_id_jb","621","base.id","100"
"rv_location_custom.city_id_49","563","Kabupaten Bandung Barat","base.state_id_jb","621","base.id","100"
"rv_location_custom.city_id_401","915","Kabupaten Banggai","base.state_id_st","643","base.id","100"
"rv_location_custom.city_id_402","916","Kabupaten Banggai Kepulauan","base.state_id_st","643","base.id","100"
"rv_location_custom.city_id_403","917","Kabupaten Banggai Laut","base.state_id_st","643","base.id","100"
"rv_location_custom.city_id_364","878","Kabupaten Bangka","base.state_id_bb","615","base.id","100"
"rv_location_custom.city_id_365","879","Kabupaten Bangka Barat","base.state_id_bb","615","base.id","100"
"rv_location_custom.city_id_366","880","Kabupaten Bangka Selatan","base.state_id_bb","615","base.id","100"
"rv_location_custom.city_id_367","881","Kabupaten Bangka Tengah","base.state_id_bb","615","base.id","100"
"rv_location_custom.city_id_109","623","Kabupaten Bangkalan","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_356","870","Kabupaten Bangli","base.state_id_ba","614","base.id","100"
"rv_location_custom.city_id_162","676","Kabupaten Banjar","base.state_id_ks","625","base.id","100"
"rv_location_custom.city_id_74","588","Kabupaten Banjarnegara","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_377","891","Kabupaten Bantaeng","base.state_id_sn","642","base.id","100"
"rv_location_custom.city_id_19","533","Kabupaten Bantul","base.state_id_yo","649","base.id","100"
"rv_location_custom.city_id_465","979","Kabupaten Banyuasin","base.state_id_ss","647","base.id","100"
"rv_location_custom.city_id_75","589","Kabupaten Banyumas","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_110","624","Kabupaten Banyuwangi","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_165","679","Kabupaten Barito Kuala","base.state_id_ks","625","base.id","100"
"rv_location_custom.city_id_174","688","Kabupaten Barito Selatan","base.state_id_kt","626","base.id","100"
"rv_location_custom.city_id_175","689","Kabupaten Barito Timur","base.state_id_kt","626","base.id","100"
"rv_location_custom.city_id_176","690","Kabupaten Barito Utara","base.state_id_kt","626","base.id","100"
"rv_location_custom.city_id_378","892","Kabupaten Barru","base.state_id_sn","642","base.id","100"
"rv_location_custom.city_id_76","590","Kabupaten Batang","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_36","550","Kabupaten Batang Hari","base.state_id_ja","620","base.id","100"
"rv_location_custom.city_id_483","997","Kabupaten Batu Bara","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_52","566","Kabupaten Bekasi","base.state_id_jb","621","base.id","100"
"rv_location_custom.city_id_368","882","Kabupaten Belitung","base.state_id_bb","615","base.id","100"
"rv_location_custom.city_id_369","883","Kabupaten Belitung Timur","base.state_id_bb","615","base.id","100"
"rv_location_custom.city_id_257","771","Kabupaten Belu","base.state_id_nt","634","base.id","100"
"rv_location_custom.city_id_344","858","Kabupaten Bener Meriah","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_320","834","Kabupaten Bengkalis","base.state_id_ri","640","base.id","100"
"rv_location_custom.city_id_147","661","Kabupaten Bengkayang","base.state_id_kb","624","base.id","100"
"rv_location_custom.city_id_10","524","Kabupaten Bengkulu Selatan","base.state_id_be","617","base.id","100"
"rv_location_custom.city_id_11","525","Kabupaten Bengkulu Tengah","base.state_id_be","617","base.id","100"
"rv_location_custom.city_id_12","526","Kabupaten Bengkulu Utara","base.state_id_be","617","base.id","100"
"rv_location_custom.city_id_189","703","Kabupaten Berau","base.state_id_ki","627","base.id","100"
"rv_location_custom.city_id_279","793","Kabupaten Biak Numfor","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_247","761","Kabupaten Bima","base.state_id_nb","633","base.id","100"
"rv_location_custom.city_id_204","718","Kabupaten Bintan","base.state_id_kr","629","base.id","100"
"rv_location_custom.city_id_345","859","Kabupaten Bireuen","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_113","627","Kabupaten Blitar","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_77","591","Kabupaten Blora","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_30","544","Kabupaten Boalemo","base.state_id_go","618","base.id","100"
"rv_location_custom.city_id_54","568","Kabupaten Bogor","base.state_id_jb","621","base.id","100"
"rv_location_custom.city_id_114","628","Kabupaten Bojonegoro","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_432","946","Kabupaten Bolaang Mongondow","base.state_id_sa","645","base.id","100"
"rv_location_custom.city_id_433","947","Kabupaten Bolaang Mongondow Selatan","base.state_id_sa","645","base.id","100"
"rv_location_custom.city_id_434","948","Kabupaten Bolaang Mongondow Timur","base.state_id_sa","645","base.id","100"
"rv_location_custom.city_id_435","949","Kabupaten Bolaang Mongondow Utara","base.state_id_sa","645","base.id","100"
"rv_location_custom.city_id_415","929","Kabupaten Bombana","base.state_id_sg","644","base.id","100"
"rv_location_custom.city_id_115","629","Kabupaten Bondowoso","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_379","893","Kabupaten Bone","base.state_id_sn","642","base.id","100"
"rv_location_custom.city_id_31","545","Kabupaten Bone Bolango","base.state_id_go","618","base.id","100"
"rv_location_custom.city_id_280","794","Kabupaten Boven Digoel","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_78","592","Kabupaten Boyolali","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_79","593","Kabupaten Brebes","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_357","871","Kabupaten Buleleng","base.state_id_ba","614","base.id","100"
"rv_location_custom.city_id_380","894","Kabupaten Bulukumba","base.state_id_sn","642","base.id","100"
"rv_location_custom.city_id_198","712","Kabupaten Bulungan","base.state_id_ku","628","base.id","100"
"rv_location_custom.city_id_37","551","Kabupaten Bungo","base.state_id_ja","620","base.id","100"
"rv_location_custom.city_id_404","918","Kabupaten Buol","base.state_id_st","643","base.id","100"
"rv_location_custom.city_id_226","740","Kabupaten Buru","base.state_id_ma","631","base.id","100"
