"External ID","ID","Kelurahan","Kecamatan/External ID","Kecamatan/ID","State/External ID","State/ID","Zip/External ID","Zip/ID","City/External ID","City/ID"
"rv_location_custom.kelurahan_id_1","1","Alue Bagok","rv_location_custom.kecamatan_id_1","1","base.state_id_ac","613","rv_location_custom.kode_pos_23652","10675","rv_location_custom.city_id_332","846"
"rv_location_custom.kelurahan_id_2","2","Alue Batee","rv_location_custom.kecamatan_id_1","1","base.state_id_ac","613","rv_location_custom.kode_pos_23652","10675","rv_location_custom.city_id_332","846"
"rv_location_custom.kelurahan_id_3","3","Alue Sundak","rv_location_custom.kecamatan_id_1","1","base.state_id_ac","613","rv_location_custom.kode_pos_23652","10675","rv_location_custom.city_id_332","846"
"rv_location_custom.kelurahan_id_4","4","Arongan","rv_location_custom.kecamatan_id_1","1","base.state_id_ac","613","rv_location_custom.kode_pos_23652","10675","rv_location_custom.city_id_332","846"
"rv_location_custom.kelurahan_id_5","5","Cot Buloh","rv_location_custom.kecamatan_id_1","1","base.state_id_ac","613","rv_location_custom.kode_pos_23652","10675","rv_location_custom.city_id_332","846"
"rv_location_custom.kelurahan_id_6","6","Cot Jurumudi","rv_location_custom.kecamatan_id_1","1","base.state_id_ac","613","rv_location_custom.kode_pos_23652","10675","rv_location_custom.city_id_332","846"
"rv_location_custom.kelurahan_id_7","7","Cot Kumbang","rv_location_custom.kecamatan_id_1","1","base.state_id_ac","613","rv_location_custom.kode_pos_23652","10675","rv_location_custom.city_id_332","846"
"rv_location_custom.kelurahan_id_8","8","Drien Rampak","rv_location_custom.kecamatan_id_1","1","base.state_id_ac","613","rv_location_custom.kode_pos_23652","10675","rv_location_custom.city_id_332","846"
"rv_location_custom.kelurahan_id_9","9","Gunong Pulo","rv_location_custom.kecamatan_id_1","1","base.state_id_ac","613","rv_location_custom.kode_pos_23652","10675","rv_location_custom.city_id_332","846"
"rv_location_custom.kelurahan_id_10","10","Karang Hampa","rv_location_custom.kecamatan_id_1","1","base.state_id_ac","613","rv_location_custom.kode_pos_23652","10675","rv_location_custom.city_id_332","846"
"rv_location_custom.kelurahan_id_11","11","Keub","rv_location_custom.kecamatan_id_1","1","base.state_id_ac","613","rv_location_custom.kode_pos_23652","10675","rv_location_custom.city_id_332","846"
